Object Name,Game Location,Pixel Sprite (in-game),Description of the Object in the Real World (and its meaning for knowledge and culture),Connection to TOK Knowledge Questions (with suggested answers and reasons),Learn More (MLA),"Components When Dissected (claims, fact, materials)",Icon,Rarity,Concept,Framework Element,Subject,In-Game Effect,Sprite Template,Object ID
"Radcliffe Line Partition Map, India and Pakistan, 1947",The Forum of Claims: in the open (Field Search or floor pickup),Generated in-game (template: map),British lawyer Cyril Radcliffe drew the border between India and Pakistan in 1947. He arrived with little local knowledge and finished in about five weeks. The line uprooted millions and set off mass violence during Partition.,"KQ: Can an outsider draw a fair border across a land he has never seen?

Suggested answer 1: Distance can promise fairness. Radcliffe had no local ties, so backers called his hand neutral and above the quarrel.

Suggested answer 2: Distance can also breed blindness. He had five weeks and old maps, so his line split villages, rivers, and lives he never knew.","""Radcliffe Line."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Radcliffe_Line.","Claim card 1: Distance can promise fairness. | Claim card 2: Distance can also breed blindness. | Fact card: British lawyer Cyril Radcliffe drew the border between India and Pakistan in 1947. | Materials: 2 Paper, 1 Resin",🗺️,Legendary,Objectivity,Perspectives,Geography,Carried: grants the Lens ability,map,r66_025
"Korean DMZ Marker Post, 38th Parallel, since 1953",Seoul: given by Border Guide Jun after an exchange,Generated in-game (template: banner),The armistice of 1953 fixed a Demilitarized Zone across the Korean peninsula near the 38th parallel. Marker posts and fences still split North from South. The strip has held for over seventy years with no peace treaty signed.,"KQ: How far can a line on the ground divide one people into two truths?

Suggested answer 1: A border can grow two worlds. Seventy years apart built rival stories, so each side now teaches a different past.

Suggested answer 2: Shared roots can outlast a fence. Families still long to reunite, so the line marks the map more than the heart.","""Korean Demilitarized Zone."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Korean_Demilitarized_Zone.","Claim card 1: A border can grow two worlds. | Claim card 2: Shared roots can outlast a fence. | Fact card: The armistice of 1953 fixed a Demilitarized Zone across the Korean peninsula near the 38th parallel. | Materials: 2 Cloth, 1 Cord",🚧,Common,Perspective,Scope,Geography,On finding: +12 Perspective insight,banner,r66_026
"Graffiti Segment of the Berlin Wall, 1989",The Forum of Claims: in the open (Field Search or floor pickup),Generated in-game (template: tablet),East Germany built the Berlin Wall in 1961 to stop people fleeing to the West. Crowds tore it open on 9 November 1989. Painted segments now stand in museums and plazas around the world.,"KQ: Who owns the meaning of a wall after it falls?

Suggested answer 1: Paint can flip a symbol. Artists covered the west face with color, so the barrier of fear became a canvas of hope.

Suggested answer 2: Sold for museums, the concrete can lose its sting. A gift-shop chunk charms tourists, so the horror it caused may soften.","""Berlin Wall."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Berlin_Wall.","Claim card 1: Paint can flip a symbol. | Claim card 2: Sold for museums, the concrete can lose its sting. | Fact card: East Germany built the Berlin Wall in 1961 to stop people fleeing to the West. | Materials: 2 Stone, 1 Cord",🧱,Rare,Power,Perspectives,History,Carried: trial bonus (time),tablet,r66_027
"Truth and Reconciliation Commission Report, 1998",Truth Commission Hall: in the open (Field Search or floor pickup),Generated in-game (template: book),"South Africa's Truth and Reconciliation Commission gathered testimony on apartheid-era crimes and published its main report in 1998. Desmond Tutu chaired it. People could confess in exchange for amnesty, a trade praised and questioned ever since.","KQ: What makes a good account of a nation's own crimes?

Suggested answer 1: Naming harm can start repair. The report gathered thousands of statements, so the record explained the past in the open.

Suggested answer 2: An account can also trade justice for calm. It offered amnesty for truth, so some victims felt the story replaced a trial.","""Truth and Reconciliation Commission (South Africa)."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Truth_and_Reconciliation_Commission_(South_Africa).","Claim card 1: Naming harm can start repair. | Claim card 2: An account can also trade justice for calm. | Fact card: South Africa's Truth and Reconciliation Commission gathered testimony on apartheid-era crimes and published its main report in 1998. | Materials: 2 Paper, 1 Cord",📕,Legendary,Explanation,Ethics,Global Politics,Key to door_hs,book,r66_028
"Madres de Plaza de Mayo White Headscarf, 1977",Truth Commission Hall: first-win reward of the Memory of the Hall trial,Generated in-game (template: textile),From 1977 mothers of the disappeared marched in the Plaza de Mayo in Buenos Aires. They wore white headscarves stitched with their children's names. Their weekly circle exposed the crimes of Argentina's military rule.,"KQ: How can grief become a form of public knowledge?

Suggested answer 1: Bodies in a square can speak. The mothers marched weekly with names on cloth, so private loss became a public charge.

Suggested answer 2: Symbols can also be captured. Later groups borrowed the scarf, so the sign risks drifting from the first mothers' pain.","""Mothers of the Plaza de Mayo."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Mothers_of_the_Plaza_de_Mayo.","Claim card 1: Bodies in a square can speak. | Claim card 2: Symbols can also be captured. | Fact card: From 1977 mothers of the disappeared marched in the Plaza de Mayo in Buenos Aires. | Materials: 2 Cloth, 1 Cord",🧣,Common,Perspective,Perspectives,Global Politics,On finding: +10 Perspective insight,textile,r66_029
"Great Zimbabwe Soapstone Bird, c. 1200 to 1450",Great Zimbabwe: in the open (Field Search or floor pickup),Generated in-game (template: tablet),"Stone carvers at Great Zimbabwe shaped soapstone birds on tall columns between about 1200 and 1450. Colonial looters removed several, and some later returned. The bird now appears on Zimbabwe's flag and money.","KQ: What does a lost symbol mean once its makers are gone?

Suggested answer 1: Later people can adopt the sign. Zimbabwe placed the bird on its flag, so a nation carried old stone into new pride.

Suggested answer 2: Adoption can rewrite the past. The builders left no text, so each reading fills the silence with a present need.","""Zimbabwe Bird."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Zimbabwe_Bird.","Claim card 1: Later people can adopt the sign. | Claim card 2: Adoption can rewrite the past. | Fact card: Stone carvers at Great Zimbabwe shaped soapstone birds on tall columns between about 1200 and 1450. | Materials: 2 Stone, 1 Resin",🐦,Common,Culture,Perspectives,History,On finding: +12 Culture insight,tablet,r66_030
"Benin Bronze Plaque, Kingdom of Benin, 16th Century",Benin City: hidden. Hint: Wrapped in cloth behind the false back of the display plinth.,Generated in-game (template: banner),Artists in the Kingdom of Benin cast brass and bronze plaques from at least the 16th century for the royal palace. British forces looted thousands during the raid of 1897. Museums worldwide now debate returning them to Nigeria.,"KQ: Who should hold an object taken by force in war?

Suggested answer 1: The maker's home has a claim. British troops looted the plaques in 1897, so many argue the pieces belong back in Benin.

Suggested answer 2: Museums claim a duty of care and access. They say wide display shares the art, so ownership and reach pull against each other.","""Benin Bronzes."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Benin_Bronzes.","Claim card 1: The maker's home has a claim. | Claim card 2: Museums claim a duty of care and access. | Fact card: Artists in the Kingdom of Benin cast brass and bronze plaques from at least the 16th century for the royal palace. | Materials: 2 Cloth, 1 Resin",🟤,Common,Power,Ethics,Visual Arts,On finding: +12 Power insight,banner,r66_031
"Two Row Wampum Belt, Haudenosaunee, 1613",The Forum of Claims: given by Belt Keeper Kanenhi after an exchange,Generated in-game (template: banner),"The Haudenosaunee, or Iroquois, record an early treaty with Dutch traders around 1613 in the Two Row Wampum belt. Two rows of purple beads run parallel on white. The design means each people travels its own river, side by side, without steering the other.","KQ: Can two peoples share a land while keeping separate laws?

Suggested answer 1: Parallel paths can hold. The belt shows two rows never crossing, so each nation keeps its own way beside the other.

Suggested answer 2: Woven and written records can clash. Colonists read a sale, the Haudenosaunee read a friendship, so one belt held two treaties.","""Two Row Wampum Treaty."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Two_Row_Wampum_Treaty.","Claim card 1: Parallel paths can hold. | Claim card 2: Woven and written records can clash. | Fact card: The Haudenosaunee, or Iroquois, record an early treaty with Dutch traders around 1613 in the Two Row Wampum belt. | Materials: 2 Cloth, 1 Charcoal",🪢,Epic,Justification,Perspectives,Global Politics,Carried: Perspective Token (Justification),banner,r66_032
"Inca Khipu Knotted Cord Record, Andes, c. 1450",Cusco of Two Records: in the open (Field Search or floor pickup),Generated in-game (template: textile),"Inca officials kept records on khipu, cords of knotted string, across the Andes by about 1450. Knot type, place, and color stored numbers and perhaps words. Spanish rule broke the chain of trained readers, so much of the code is lost.","KQ: How far can we read a record whose code we have half lost?

Suggested answer 1: Pattern can carry meaning. Knot position and color mark numbers, so scholars recover census and tribute counts.

Suggested answer 2: Lost keys leave gaps. No fluent reader remains, so any story beyond numbers stays a careful guess.","""Quipu."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Quipu.","Claim card 1: Pattern can carry meaning. | Claim card 2: Lost keys leave gaps. | Fact card: Inca officials kept records on khipu, cords of knotted string, across the Andes by about 1450. | Materials: 2 Cloth, 1 Resin",🧶,Common,Interpretation,Methods and Tools,Mathematics,On finding: +10 Interpretation insight,textile,r66_033
"Svalbard Global Seed Vault Seed Packet, since 2008",The Hall of Mirrors: in the open (Field Search or floor pickup),Generated in-game (template: plant),"The Svalbard Global Seed Vault opened in 2008 inside a frozen mountain on a Norwegian island. It holds backup samples of over a million crop seeds from gene banks worldwide. The store guards food crops against war, disaster, and loss.","KQ: What does a society say about the future when it stores seeds in ice?

Suggested answer 1: Storing seeds shows hope and fear at once. Nations bank crops against disaster, so the vault admits the future may go wrong.

Suggested answer 2: A frozen store cannot save a farm alone. Seeds need land and knowledge to grow, so the packet guards genes, not the skill to use them.","""Svalbard Global Seed Vault."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Svalbard_Global_Seed_Vault.","Claim card 1: Storing seeds shows hope and fear at once. | Claim card 2: A frozen store cannot save a farm alone. | Fact card: The Svalbard Global Seed Vault opened in 2008 inside a frozen mountain on a Norwegian island. | Materials: 2 Seed, 1 Charcoal",🌱,Common,Values,Scope,ESS,On finding: +12 Values insight,plant,r66_034
"EPICA Dome C Antarctic Ice Core, 2004",The Aggregate: given by Glaciologist Freya after an exchange,Generated in-game (template: banner),"Drillers for the EPICA project reached deep Antarctic ice at Dome C by 2004. The core held air bubbles going back about 800,000 years. Tiny gas samples let scientists measure past carbon dioxide directly.","KQ: How far can frozen air prove what the sky was like long ago?

Suggested answer 1: Trapped bubbles hold old air. Each layer sealed a year of gas, so the core gives direct evidence of ancient carbon.

Suggested answer 2: Reading ice still needs models. Layers bend and thin with depth, so scientists interpret the record, not simply read it.","""European Project for Ice Coring in Antarctica."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica.","Claim card 1: Trapped bubbles hold old air. | Claim card 2: Reading ice still needs models. | Fact card: Drillers for the EPICA project reached deep Antarctic ice at Dome C by 2004. | Materials: 2 Cloth, 1 Charcoal",🧊,Common,Evidence,Methods and Tools,Chemistry,On finding: +12 Evidence insight,banner,r66_035
"Keeling Curve CO2 Chart, Mauna Loa, since 1958",The Aggregate: in the open (Field Search or floor pickup),Generated in-game (template: chart),Charles David Keeling began measuring carbon dioxide at Mauna Loa in Hawaii in 1958. His daily record shows a steady rise with a yearly saw-tooth from plant growth. The Keeling Curve became core evidence for human-driven climate change.,"KQ: When does a rising line become proof the world must act?

Suggested answer 1: A steady climb can settle a debate. Daily readings since 1958 show carbon rising without pause, so the trend resists denial.

Suggested answer 2: A chart alone moves no one. Numbers need a story of harm, so the line persuades only when people feel its cost.","""Keeling Curve."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Keeling_Curve.","Claim card 1: A steady climb can settle a debate. | Claim card 2: A chart alone moves no one. | Fact card: Charles David Keeling began measuring carbon dioxide at Mauna Loa in Hawaii in 1958. | Materials: 2 Paper, 1 Cord",📈,Common,Evidence,Methods and Tools,ESS,On finding: +12 Evidence insight,chart,r66_036
"GPS Collar of Wolf OR-7 'Journey', Oregon, 2011",Q'ero Highlands: hidden. Hint: Hung on the third peg inside the ranger's tracking hut.,Generated in-game (template: pot),"Wildlife officers fitted a young grey wolf, tagged OR-7, with a GPS collar in Oregon in 2011. Its signal tracked a journey of over a thousand miles into California, the first wild wolf there in decades. Reporters nicknamed the wolf Journey.","KQ: What can a tracking signal know about an animal we cannot?

Suggested answer 1: A collar can map a hidden life. OR-7 crossed hundreds of miles, so data revealed travel no human could follow.

Suggested answer 2: A signal reduces a wolf to points. It logs place, not hunger or fear, so the map misses the animal's inner world.","""OR-7."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/OR-7.","Claim card 1: A collar can map a hidden life. | Claim card 2: A signal reduces a wolf to points. | Fact card: Wildlife officers fitted a young grey wolf, tagged OR-7, with a GPS collar in Oregon in 2011. | Materials: 2 Clay, 1 Cord",🐺,Legendary,Evidence,Methods and Tools,Biology,Carried: grants the Dowse ability,pot,r66_037
"Bristlecone Pine Tree-Ring Core, White Mountains, 1957",The Painted Cave: in the open (Field Search or floor pickup),Generated in-game (template: amulet),"Researchers cored ancient bristlecone pines in California's White Mountains from the 1950s. Some trees have lived over 4,000 years. Their rings built a year-by-year record used to check radiocarbon dates.","KQ: How can a tree hold a calendar more exact than human memory?

Suggested answer 1: Each ring marks one year. Wide and narrow bands log wet and dry seasons, so the core dates events to the year.

Suggested answer 2: Rings can still mislead. A hard year may skip a ring, so readers cross-check many trees to fix the count.","""Dendrochronology."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Dendrochronology.","Claim card 1: Each ring marks one year. | Claim card 2: Rings can still mislead. | Fact card: Researchers cored ancient bristlecone pines in California's White Mountains from the 1950s. | Materials: 2 Silver, 1 Cord",🌲,Common,Certainty,Methods and Tools,ESS,On finding: +12 Certainty insight,amulet,r66_038
"Rachel Carson's 'Silent Spring', First Edition, 1962",Q'ero Highlands: given by Ranger Alma after an exchange,Generated in-game (template: book),Biologist Rachel Carson published Silent Spring in 1962. The book showed how the pesticide DDT moved through food chains and harmed wildlife. It helped launch the modern environmental movement and a later ban on DDT for farming.,"KQ: Who bears the duty to warn a public about a slow harm?

Suggested answer 1: A writer can force a reckoning. Carson linked pesticides to dying birds, so her book made a hidden harm public.

Suggested answer 2: One book can also overreach. Critics said she pressed the case hard, so readers must weigh her claims against later data.","""Silent Spring."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Silent_Spring.","Claim card 1: A writer can force a reckoning. | Claim card 2: One book can also overreach. | Fact card: Biologist Rachel Carson published Silent Spring in 1962. | Materials: 2 Paper, 1 Cord",🐦,Epic,Responsibility,Ethics,ESS,Carried: Perspective Token (Responsibility),book,r66_039
"Standing Rock Water Protector Camp Sign, 2016",Q'ero Highlands: first-win reward of the Socratic Serve trial,Generated in-game (template: banner),In 2016 members of the Standing Rock Sioux and allies camped to block the Dakota Access Pipeline near their water source in North Dakota. They said the route threatened sacred land and the Missouri River. Police cleared the camp in early 2017.,"KQ: How far can a protest camp challenge a pipeline backed by law?

Suggested answer 1: A camp can shift the story. Thousands gathered at Standing Rock, so a local fight became a global cause.

Suggested answer 2: Law and money can still win. Crews finished the pipeline in 2017, so protest raised the question yet lost the ground.","""Dakota Access Pipeline protests."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Dakota_Access_Pipeline_protests.","Claim card 1: A camp can shift the story. | Claim card 2: Law and money can still win. | Fact card: In 2016 members of the Standing Rock Sioux and allies camped to block the Dakota Access Pipeline near their water source in North Dakota. | Materials: 2 Cloth, 1 Charcoal",🪧,Common,Power,Perspectives,Global Politics,On finding: +10 Power insight,banner,r66_040
"Yirrkala Bark Petitions, Arnhem Land, 1963",Songlines Country: in the open (Field Search or floor pickup),Generated in-game (template: banner),In 1963 Yolngu leaders in Arnhem Land sent bark petitions to Australia's Parliament. Painted clan designs framed a typed protest against mining on their land. The petitions became a founding document in the fight for Aboriginal land rights.,"KQ: Can a people prove they own land without a deed on paper?

Suggested answer 1: Old use can ground a claim. The Yolngu painted their law onto bark, so their own record spoke for ancient title.

Suggested answer 2: Foreign courts may not read it. Parliament first set the bark aside, so proof means little without power to hear it.","""Yirrkala bark petitions."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Yirrkala_bark_petitions.","Claim card 1: Old use can ground a claim. | Claim card 2: Foreign courts may not read it. | Fact card: In 1963 Yolngu leaders in Arnhem Land sent bark petitions to Australia's Parliament. | Materials: 2 Cloth, 1 Charcoal",🪵,Common,Justification,Perspectives,Global Politics,On finding: +12 Justification insight,banner,r66_041
"Aboriginal Message Stick, Australia, 19th Century",Songlines Country: given by Elder Warrun after an exchange,Generated in-game (template: tool),"Aboriginal groups across Australia sent message sticks with runners between clans. Carved lines and dots helped the bearer recall a fixed message about meetings, trade, or ceremony. The marks aided memory rather than spelling out words.","KQ: How does a carved stick carry news across a distant land?

Suggested answer 1: Marks can jog a set message. A runner read the notches with practiced memory, so wood and mind joined as one.

Suggested answer 2: The stick alone says little. Without the trained bearer the marks fall silent, so meaning lived in people, not the object.","""Message stick."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Message_stick.","Claim card 1: Marks can jog a set message. | Claim card 2: The stick alone says little. | Fact card: Aboriginal groups across Australia sent message sticks with runners between clans. | Materials: 2 Wood, 1 Cord",🪃,Common,Culture,Methods and Tools,Visual Arts,On finding: +10 Culture insight,tool,r66_042
"Marshall Islands Stick Chart, Micronesia, 19th Century",Wayfinder's Ocean: in the open (Field Search or floor pickup),Generated in-game (template: globe),"Navigators in the Marshall Islands made charts of curved sticks and shells. The sticks showed how ocean swells wrap and cross near islands. A sailor studied a chart on land, then read the actual waves by feel during a voyage.","KQ: What makes a good model of something as restless as the sea?

Suggested answer 1: A model can capture a pattern. Curved sticks map how swells bend around islands, so a navigator learns the ocean's shape.

Suggested answer 2: A model is not the sea itself. Charts stayed on shore as study aids, so skill at sea still came from the body and eye.","""Marshall Islands stick chart."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Marshall_Islands_stick_chart.","Claim card 1: A model can capture a pattern. | Claim card 2: A model is not the sea itself. | Fact card: Navigators in the Marshall Islands made charts of curved sticks and shells. | Materials: 2 Paper, 1 Cord",🧭,Common,Explanation,Methods and Tools,Physics,On finding: +12 Explanation insight,globe,r66_043
"Mabo v Queensland Native Title Decision, 1992",Songlines Country: in the open (Field Search or floor pickup),Generated in-game (template: scale),"In 1992 Australia's High Court decided Mabo v Queensland in favor of Eddie Mabo and the Meriam people. The judges rejected terra nullius, the claim the land had belonged to no one. The case created native title in Australian law.","KQ: Under what circumstances should a court undo a founding legal myth?

Suggested answer 1: Evidence can topple a false doctrine. Eddie Mabo proved long Meriam land use, so the court struck the idea of empty land.

Suggested answer 2: A ruling can arrive too late for many. Two hundred years of loss came first, so justice on paper met a long, hard past.","""Mabo v Queensland (No 2)."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Mabo_v_Queensland_(No_2).","Claim card 1: Evidence can topple a false doctrine. | Claim card 2: A ruling can arrive too late for many. | Fact card: In 1992 Australia's High Court decided Mabo v Queensland in favor of Eddie Mabo and the Meriam people. | Materials: 2 Brass, 1 Resin",⚖️,Common,Justification,Ethics,Global Politics,On finding: +12 Justification insight,scale,r66_044
"NSA PRISM Program Leaked Slide, 2013",The Hall of Mirrors: hidden. Hint: Sealed in the envelope taped beneath the reading desk drawer.,Generated in-game (template: banner),"In 2013 Edward Snowden gave journalists secret slides about PRISM, a United States surveillance program. The slides showed the agency gathering data from major technology firms. The leak sparked a global debate on privacy and security.","KQ: When does breaking a secret serve the public more than the state?

Suggested answer 1: Exposure can guard democracy. Snowden showed mass data collection, so citizens learned what leaders hid from them.

Suggested answer 2: Leaks can also endanger. Secret programs may protect people too, so releasing them shifts risk in ways one leaker cannot judge alone.","""PRISM (surveillance program)."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/PRISM_(surveillance_program).","Claim card 1: Exposure can guard democracy. | Claim card 2: Leaks can also endanger. | Fact card: In 2013 Edward Snowden gave journalists secret slides about PRISM, a United States surveillance program. | Materials: 2 Cloth, 1 Resin",🕵️,Legendary,Responsibility,Ethics,Computer Science,Key to secret_hu,banner,r66_045
"Bentham's Panopticon Prison Blueprint, 1791",The Forum of Claims: in the open (Field Search or floor pickup),Generated in-game (template: painting),Philosopher Jeremy Bentham drew the Panopticon prison plan in 1791. A central tower could watch every cell while guards stayed unseen. Thinkers later used the design as an image for modern surveillance.,"KQ: How does being watched change the person under the eye?

Suggested answer 1: Watching can rule without force. The design let one guard seem always present, so inmates policed themselves.

Suggested answer 2: The eye needs belief to bite. Prisoners who doubt the watcher may act free, so the design controls minds, not bodies.","""Panopticon."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Panopticon.","Claim card 1: Watching can rule without force. | Claim card 2: The eye needs belief to bite. | Fact card: Philosopher Jeremy Bentham drew the Panopticon prison plan in 1791. | Materials: 2 Pigment, 1 Resin",🏢,Common,Power,Methods and Tools,Design Technology,On finding: +12 Power insight,painting,r66_046
"Trafalgar Square Police CCTV Camera, London, 1990s",Seoul: given by Control Room Officer Priya after an exchange,Generated in-game (template: camera),British police spread closed-circuit cameras through public squares and streets from the 1990s. London became one of the most watched cities on earth. Backers promised safety while critics warned of constant monitoring.,"KQ: Can a camera serve as a neutral witness to a crowd?

Suggested answer 1: A lens records without a stake. It captures the scene as light hits it, so footage can check rival human accounts.

Suggested answer 2: A camera still points where owners aim it. Someone chose the angle and the target, so the view carries a quiet bias.","""Closed-circuit television."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Closed-circuit_television.","Claim card 1: A lens records without a stake. | Claim card 2: A camera still points where owners aim it. | Fact card: British police spread closed-circuit cameras through public squares and streets from the 1990s. | Materials: 2 Glass, 1 Charcoal",📹,Rare,Objectivity,Perspectives,Psychology,Carried: +2 Vigor for trials,camera,r66_047
"Bertillon Criminal Measurement Card, Paris, 1883",The Aggregate: first-win reward of the Assumption Sweep trial,Generated in-game (template: card),French officer Alphonse Bertillon built a system of body measurements to identify criminals from 1883. Clerks recorded set lengths on cards with mug shots. Fingerprints later replaced the method after it misidentified people.,"KQ: Can measuring a body reveal the truth of who a person is?

Suggested answer 1: Numbers can fix identity. Bertillon logged ear, arm, and head sizes, so police matched a suspect to a file.

Suggested answer 2: Bodies change and charts fail. Measures drifted and mixed people up, so the system claimed more than it could prove.","""Anthropometry."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Anthropometry.","Claim card 1: Numbers can fix identity. | Claim card 2: Bodies change and charts fail. | Fact card: French officer Alphonse Bertillon built a system of body measurements to identify criminals from 1883. | Materials: 2 Paper, 1 Resin",📇,Common,Objectivity,Methods and Tools,Psychology,On finding: +10 Objectivity insight,card,r66_048
"Stratton Case Fingerprint Exhibit, London, 1905",Truth Commission Hall: in the open (Field Search or floor pickup),Generated in-game (template: gem),The 1905 trial of the Stratton brothers in London was the first British murder case won on fingerprint evidence. A print from the crime scene matched one brother. The verdict helped make fingerprints a standard tool in courts.,"KQ: What makes a mark on a surface count as proof in court?

Suggested answer 1: A rare pattern can point to one person. The thumbprint matched a suspect, so the court trusted ridges over eyewitness doubt.

Suggested answer 2: A first use sets a risky rule. Jurors could not check the science, so they leaned on the expert's word, not their own eyes.","""Stratton Brothers."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Stratton_Brothers.","Claim card 1: A rare pattern can point to one person. | Claim card 2: A first use sets a risky rule. | Fact card: The 1905 trial of the Stratton brothers in London was the first British murder case won on fingerprint evidence. | Materials: 2 Glass, 1 Resin",🔍,Common,Evidence,Methods and Tools,Biology,On finding: +12 Evidence insight,gem,r66_049
"Zimbabwe 100 Trillion Dollar Note, 2008","The Exchange stall (delivered from Great Zimbabwe), about 40 lumens",Generated in-game (template: coin),Zimbabwe printed a 100 trillion dollar note in 2008 during extreme hyperinflation. Prices rose so fast the note soon bought almost nothing. The country abandoned its currency in 2009.,"KQ: What holds up the value printed on a piece of paper?

Suggested answer 1: Shared belief gives money value. People trade while they trust the note, so faith, not ink, sets its price.

Suggested answer 2: Belief can vanish overnight. Prices doubled in hours in 2008, so the huge number bought less than a loaf of bread.","""Hyperinflation in Zimbabwe."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Hyperinflation_in_Zimbabwe.","Claim card 1: Shared belief gives money value. | Claim card 2: Belief can vanish overnight. | Fact card: Zimbabwe printed a 100 trillion dollar note in 2008 during extreme hyperinflation. | Materials: 2 Silver, 1 Resin",💵,Common,Certainty,Scope,Economics,On finding: +10 Certainty insight,coin,r66_050
"The Pentagon Papers, Leaked Study, 1971",The Hall of Mirrors: hidden. Hint: Under the loose floorboard beneath the copy machine.,Generated in-game (template: banner),In 1971 Daniel Ellsberg leaked a secret Defense Department study of the Vietnam War to the press. The papers showed leaders had misled the public for years. The Supreme Court backed the newspapers' right to publish.,"KQ: Does a public have the right to secrets its leaders keep about a war?

Suggested answer 1: Hidden truth can betray voters. The study showed leaders doubted the war in private, so the leak let citizens judge the record.

Suggested answer 2: States claim secrecy shields lives. Officials said release aided the enemy, so security and openness clash with no clean line.","""Pentagon Papers."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Pentagon_Papers.","Claim card 1: Hidden truth can betray voters. | Claim card 2: States claim secrecy shields lives. | Fact card: In 1971 Daniel Ellsberg leaked a secret Defense Department study of the Vietnam War to the press. | Materials: 2 Cloth, 1 Resin",📂,Rare,Truth,Ethics,History,Carried: trial bonus (reveal),banner,r66_051
"The Rosetta Stone, Egypt, 196 BCE",The Great Library: first-win reward of the Cipher of the Stacks trial,Generated in-game (template: tablet),"The Rosetta Stone carries one decree from 196 BCE written in hieroglyphs, Demotic, and Greek. French soldiers found it in Egypt in 1799. Champollion used the Greek to decipher Egyptian hieroglyphs by 1822.","KQ: How do we crack a script when its last reader died long ago?

Suggested answer 1: A shared text can break a code. The stone gave one decree in three scripts, so Greek unlocked the hieroglyphs beside it.

Suggested answer 2: One key opens only one door. The stone fit a single decree, so scholars still argued over rarer signs for years.","""Rosetta Stone."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Rosetta_Stone.","Claim card 1: A shared text can break a code. | Claim card 2: One key opens only one door. | Fact card: The Rosetta Stone carries one decree from 196 BCE written in hieroglyphs, Demotic, and Greek. | Materials: 2 Stone, 1 Cord",🪧,Common,Interpretation,Methods and Tools,Language B,On finding: +12 Interpretation insight,tablet,r66_052
"The Domesday Book, England, 1086",The Grand Historian's Study: given by Reeve Godric after an exchange,Generated in-game (template: book),"King William I ordered a survey of England in 1086, recorded in the Domesday Book. Officials listed who held each piece of land and its value. The book let the crown tax and rule with a firm grip on facts.","KQ: How far can an old survey serve as evidence of a lost world?

Suggested answer 1: A full count freezes a moment. Clerks logged land, mills, and livestock, so the book still shows England in 1086.

Suggested answer 2: A survey serves its maker. William counted to tax and control, so the record centers wealth, not the poor who tilled the land.","""Domesday Book."" Wikipedia, Wikimedia Foundation, n.d., en.wikipedia.org/wiki/Domesday_Book.","Claim card 1: A full count freezes a moment. | Claim card 2: A survey serves its maker. | Fact card: King William I ordered a survey of England in 1086, recorded in the Domesday Book. | Materials: 2 Paper, 1 Cord",📚,Common,Evidence,Scope,History,On finding: +12 Evidence insight,book,r66_053
